trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5579999999999999, 'e': 0.6570468198150567}",20,0,-157.70591190834045,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
43,False,"{'a': 0.5569999999999999, 'e': 0.6505090947233165}",20,2,-77.04181947287289,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
44,False,"{'a': 0.5559999999999999, 'e': 0.6440364210831414}",20,11,-47.060132391458986,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.5549999999999999, 'e': 0.6376281516217733}",25,5,-6.943812512869104,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5539999999999999, 'e': 0.631283645506926}",20,8,21.11274202110825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5529999999999999, 'e': 0.6250022682827008}",20,5,-60.101836448283926,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.5519999999999999, 'e': 0.6187833918061408}",25,0,-11.397528644495916,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5509999999999999, 'e': 0.6126263941844161}",20,0,0.04011093386143172,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.5499999999999999, 'e': 0.6065306597126334}",35,0,-138.00525869270442,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
51,False,"{'a': 0.5489999999999999, 'e': 0.6004955788122659}",25,2,-25.73242939765944,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.5479999999999999, 'e': 0.5945205479701944}",20,2,-110.16393791908708,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
53,False,"{'a': 0.5469999999999999, 'e': 0.5886049696783552}",20,0,-45.60516040477126,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.5459999999999999, 'e': 0.5827482523739896}",20,1,-69.61647650263129,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
55,False,"{'a': 0.5449999999999999, 'e': 0.5769498103804866}",20,0,-27.771776904237598,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.5439999999999999, 'e': 0.5712090638488149}",30,4,-21.83067184192886,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5429999999999999, 'e': 0.5655254386995371}",20,0,-109.15797722433564,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
58,False,"{'a': 0.5419999999999999, 'e': 0.559898366565402}",25,14,-2.251698312177467,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5409999999999999, 'e': 0.5543272847345071}",25,0,11.674020335814713,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5399999999999999, 'e': 0.5488116360940265}",20,0,-61.827396918863954,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.5389999999999999, 'e': 0.5433508690744998}",25,6,-9.172022793373163,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.5379999999999999, 'e': 0.5379444375946745}",20,10,-32.503694707283735,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
63,False,"{'a': 0.5369999999999999, 'e': 0.5325918010068972}",25,0,-76.22099380251103,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.5359999999999999, 'e': 0.5272924240430485}",20,0,-24.103515147694814,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
65,False,"{'a': 0.5349999999999999, 'e': 0.522045776761016}",20,0,-44.707165390225484,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.5339999999999999, 'e': 0.5168513344916992}",20,0,16.764188820438047,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
